tesla,Cybertruck
tesla,Model 3
tesla,Model S
tesla,Model X
tesla,Model Y
tesla,Roadster
tesla,Semi
tesla,Cybertruck
tesla,Model 3
tesla,Model S
tesla,Model X
tesla,Model Y
tesla,Roadster
tesla,Semi
bmw,128i
bmw,135i
bmw,1M
bmw,228
bmw,228i
bmw,230i
bmw,318i
bmw,318iC
bmw,318iS
bmw,318ti
bmw,320i
bmw,323i
bmw,323iC
bmw,323is
bmw,325/325e
bmw,325/325eS
bmw,325Ci
bmw,325i
bmw,325i/325is
bmw,325iC
bmw,325iS
bmw,325ix
bmw,325xi
bmw,328Ci
bmw,328d
bmw,328i
bmw,328iC
bmw,328iS
bmw,328xi
bmw,330Ci
bmw,330e
bmw,330i
bmw,330xi
bmw,335
bmw,335d
bmw,335i
bmw,335is
bmw,335xi
bmw,340i
bmw,428i
bmw,430i
bmw,435i
bmw,440i
bmw,524td
bmw,525i
bmw,525iA
bmw,525xi
bmw,528e
bmw,528i
bmw,528xi
bmw,530e
bmw,530i
bmw,530iA
bmw,530xi
bmw,533i
bmw,535d
bmw,535i
bmw,535i/535is
bmw,535xi
bmw,540d
bmw,540i
bmw,540iA
bmw,545i
bmw,550e
bmw,550i
bmw,633 csi
bmw,635CSi
bmw,640i
bmw,640xi
bmw,645Ci
bmw,645i
bmw,650i
bmw,"650i, Alpina B6"
bmw,"650i, B6"
bmw,650xi
bmw,730i
bmw,733i
bmw,735i
bmw,735iL
bmw,740e
bmw,740i
bmw,740iL
bmw,740Li
bmw,745e
bmw,745i
bmw,745Le
bmw,745Li
bmw,750e
bmw,750i
bmw,"750i, Alpina B7"
bmw,"750i, B7"
bmw,750iL
bmw,750Li
bmw,"750Li, Alpina B7"
bmw,750Lxi
bmw,"750Lxi, Alpina B7"
bmw,750xi
bmw,"750xi, Alpina B7"
bmw,760i
bmw,760Li
bmw,840Ci
bmw,840i
bmw,850Ci
bmw,850CSi
bmw,850i
bmw,ActiveE
bmw,ActiveHybrid 3
bmw,ActiveHybrid 5
bmw,ActiveHybrid 7
bmw,Alpina
bmw,Alpina B8
bmw,B7
bmw,C 400 GT
bmw,C 400 X
bmw,C 600
bmw,C 650
bmw,C 650 GT
bmw,C Evolution
bmw,CE 02
bmw,CE 04
bmw,F 650
bmw,F 650 CS
bmw,F 650 GS
bmw,F 650 S
bmw,F 700 GS
bmw,F 750 GS
bmw,F 800 GS
bmw,F 800 GT
bmw,F 800 R
bmw,F 800 S
bmw,F 800 ST
bmw,F 850 GS
bmw,F 900
bmw,F 900 GS
bmw,F 900 GS Adventure
bmw,F 900 GS-P
bmw,F 900 R
bmw,F 900 XR
bmw,G 310 GS
bmw,G 310 R
bmw,G 450 X
bmw,G 650
bmw,G 650 GS
bmw,HP2
bmw,HP4
bmw,i3
bmw,i4
bmw,i5
bmw,i7
bmw,i8
bmw,iX
bmw,K 100 LT
bmw,K 100 RS
bmw,K 100 RT
bmw,K 1100 LT
bmw,K 1100 RS
bmw,K 1200 GT
bmw,K 1200 LT
bmw,K 1200 R
bmw,K 1200 RS
bmw,K 1200 S
bmw,K 1300 GT
bmw,K 1300 R
bmw,K 1300 S
bmw,K 1600 B
bmw,K 1600 GT
bmw,K 1600 GTL
bmw,K1
bmw,K100
bmw,K75
bmw,K75RT
bmw,K75S
bmw,L7
bmw,M 1000
bmw,M 1000 R
bmw,M 1000 RR
bmw,M 1000 XR
bmw,M2
bmw,M235
bmw,M235i
bmw,M240i
bmw,M3
bmw,M340i
bmw,M3Ci
bmw,M4
bmw,M440i
bmw,M5
bmw,M550i
bmw,M6
bmw,M760i
bmw,M760Li
bmw,M8
bmw,M850i
bmw,R 100
bmw,R 100 CS
bmw,R 100 GS
bmw,R 100 GSPD
bmw,R 100 R
bmw,R 100 RS
bmw,R 100 RT
bmw,R 1100 GS
bmw,R 1100 R
bmw,R 1100 RS
bmw,R 1100 RT
bmw,R 1100 S
bmw,R 1150 GS
bmw,R 1150 R
bmw,R 1150 RS
bmw,R 1150 RT
bmw,R 12
bmw,R 12 G/S
bmw,R 12 nineT
bmw,R 1200 C
bmw,R 1200 CL
bmw,R 1200 GS
bmw,R 1200 R
bmw,R 1200 RS
bmw,R 1200 RT
bmw,R 1200 S
bmw,R 1200 ST
bmw,R 1250 GS
bmw,R 1250 GS Adventure
bmw,R 1250 R
bmw,R 1250 RS
bmw,R 1250 RT
bmw,R 1300 GS
bmw,R 1300 GS Adventure
bmw,R 1300 R
bmw,R 1300 RS
bmw,R 1300 RT
bmw,R 18
bmw,R 18 B
bmw,R 18 Classic
bmw,R 18 Roctane
bmw,R 18 Transcontinental
bmw,R 65
bmw,R 65 LS
bmw,R 80
bmw,R 80 GS
bmw,R 80 RT
bmw,R 80 ST
bmw,R 850 R
bmw,R 900 RT
bmw,R nineT
bmw,S 1000 R
bmw,S 1000 RR
bmw,S 1000 XR
bmw,X1
bmw,X2
bmw,X3
bmw,X4
bmw,X5
bmw,X6
bmw,X7
bmw,XM
bmw,Z3
bmw,Z4
bmw,Z8
